base_ID	alt_elev	collection_date	depth	env_biome	env_feature	env_material	env_package	env_salinity	env_temp	geo_loc_name	geo_loc_name_GAZ	geo_loc_name_GAZ_ENVO	investigation_type	lat_lon	pathogenicity	project_name	assembly	isol_growth_condt	num_replicons	ref_biomaterial	microbe_package	sample_type	strain	isolation_source	collected_by	culture_collection	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names	bacdive_id	curation_date	implementation_date	mmp_biome	silva_accession_SSU	silva_accession_LSU	uniprot_proteome_id	assembly_accession_genbank	assembly_accession_refseq	bioproject_accession	biosample_accession	genbank_accession	NCBI_refseq_accession	NCBI_taxon_identifier	annotation_provider	annotation_date	annotation_pipeline	annotation_method	annotation_software_revision	features_annotated	genes	cds	pseudo_genes	rrnas	complete_rrnas	partial_rrnas	total_trnas	unique_trnas	ncrna	frameshifted_genes	host_common_name	host_scientific_name	organism	full_scientific_name	disease	publication_pmid	isolation_country	isolation_comments	comments	sequencing_centers	body_sample_site	body_sample_subsite	other_clinical	gram_stain	cell_shape	motility	sporulation	temperature_range	optimal_temperature	halotolerance	oxygen_requirement	plasmids	genome_length	gc_content	refseq_cds	biovar	other_typing	type_strain	seq_meth	sequencing_depth	contigs	n50	genome_status	host_sex	host_health_stage	host_age	serovar	pathovar	mmp_ID	updated_date	chebi_id	chebi_name	chembl_id	compound_name	uniprot_id	uniprot_description	antismash_types	antismash_clusters	analysis_project_type	estimated_completeness	estimated_contamination	strain_heterogeneity	qs	mapping	mapping_version	quality_assessment	quality_assessment_version	assembly_version	binning	binning_version
686	missing	2005-12	1	Marginal sea biome (ENVO:01000046)	Sea coast (ENVO:00000303)	Sea water (ENVO:00002149)	Water	missing	missing	Antarctica|King George Island	King George Island	GAZ:00007425	Bacteria_Archaea	-62.233, -58.783	NA	missing	SMRT|HGAP	18062226	1	18062226	missing	Cell culture	IMCC 3135|KCCM 42676|NBRC 102684	Surface Sea water of Maxwell Bay, KingGeorge Island, West Antarctica.	missing	IMCC 3135|KCCM 42676|NBRC 102684	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Granulosicoccaceae	Granulosicoccus	Granulosicoccus antarcticus	131567|2|1224|1236|135613|449719|437504|437505	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales|Granulosicoccaceae|Granulosicoccus|Granulosicoccus antarcticus	missing	2017-11-08	missing	Marine	167143	167143	missing	GCA_002215215.1	GCF_002215215.1	PRJNA167143	SAMN06112367	CP018632	NZ_CP018632.1	1192854	NCBI	2017-07-07	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	6765	6711	116	3, 3, 3	3, 3, 3	0, 0, 0	43	22	4	48	NA	NA	Granulosicoccus antarcticus	Granulosicoccus antarcticus IMCC 3135	NA	missing	Antarctica	Isolated from Antarctic surface sea water of King George Island, West Antarctica	This strain was isolated from Antarctic surface sea water of King George Island, West Antarctica.	Inha University	NA	NA	NA	Negative	Cocci (Spherical)	Yes	unknown	Mesophilic	missing	Non Halophilic	Aerobic	missing	7783862	52.86	6761	missing	missing	Yes	PacBio	59	1	7783862	Finished	NA	NA	NA	missing	missing	MMP06112367	missing	missing	missing	missing	missing	missing	missing	Aryl polyene cluster|Aryl polyene cluster - Resorcinol cluster|Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Nonribosomal peptide synthetase cluster|Other uncategorized cluster	Kijanimicin (4%), S-layer glycan (9%), Exopolysaccharide (8%), Meilingmycin (2%), K-antigen (3%), Polysaccharide B (6%), Colabomycin (4%), Capsular polysaccharide (3%), FK228 (14%), APE Ec (36%)	Whole genome sequencing (WGS)	95.25	7.79	0	56.3	missing	missing	CheckM	1.0.13	2	missing	missing
687	missing	2014-07	missing	missing	missing	Sea water (ENVO:00002149)	Water	missing	missing	Arctic Ocean|Chukchi Sea	Chukchi Sea	GAZ:00008942	Bacteria_Archaea	69, -172	NA	missing	PacBio SMRT Analysis	missing	1	missing	missing	Cell culture	EH1	Sea water from Chukchi Sea	missing	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Unclassified	131567|2|1224|1236|135622|267888|53246	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas	missing	2017-11-08	missing	Marine	371403	371403	UP000188243	GCA_001999225.1	GCF_001999225.1	PRJNA371403	SAMN06298625	CP019628	NZ_CP019628.1	247523	NCBI	2017-04-17	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	4088	3949	104	11, 10, 10	11, 10, 10	0, 0, 0	107	23	4	56	NA	NA	Pseudoalteromonas aliena	Pseudoalteromonas aliena EH1	NA	missing	Arctic Ocean	missing	Pseudoalteromonas aliena strain EH1 produces cold-active extracellular enzymes including amylases and proteases, some of which have potential for industrial applications.	Yonsei University	NA	NA	NA	missing	missing	missing	missing	missing	missing	missing	missing	missing	4594697	39.06	3962	missing	missing	missing	PacBio	309.22	1	4594697	Finished	NA	NA	NA	missing	missing	MMP06298625	missing	CHEBI:70619	pentabromopseudilin	CHEMBL1235156	PENTABROMOPSEUDILIN	CHEMBL1235156	missing	Aryl polyene cluster|Bacteriocin cluster|Bacteriocin cluster - Nonribosomal peptide synthetase cluster|Putative fatty acid cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Siderophore cluster	APE Vf (40%), Desferrioxamine B (60%), O-antigen (10%), Lipopolysaccharide (18%), Alterochromides (9%), Emulsan (13%)	Whole genome sequencing (WGS)	100	1.22	66.67	93.9	missing	missing	CheckM	1.0.13	2.3.0	missing	missing
688	missing	2012-03	2819	Marine benthic biome (ENVO:01000024)	Sea floor (ENVO:00000482)	Sediment (ENVO:00002007)	Sediment	missing	missing	Atlantic Ocean|South Atlantic Ocean	South Atlantic Ocean	GAZ:00000378	Bacteria_Archaea	-14.72, -13.46	NA	missing	SMRT PORTAL	29087269	1	29087269	missing	Cell culture	B1|CGMCC 1.15508|KCTC 52882|MCCC 1K03318	Sediment	missing	CGMCC 1.15508|KCTC 52882|MCCC 1K03318	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	Unclassified	131567|2|1783270|68336|976|117743|200644|49546|252356	Cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Maribacter	missing	2017-11-08	missing	Marine	398646	398646	missing	GCA_002269385.1	GCF_002269385.1	PRJNA398646	SAMN07514628	CP022957	NZ_CP022957.1	1178778	NCBI	2018-01-12	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.4	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	4167	4118	71	2, 2, 2	2, 2, 2	0, 0, 0	40	22	4	27	NA	NA	Maribacter sp.	Maribacter sp. B1	NA	missing	Atlantic Ocean	Isolated from deep-sea sediment (2819 m depth) of South Atlantic Ocean	This is a type strain belongs to genus Maribacter, which was isolated from deep-sea sediment (2819 m depth) of South Atlantic Ocean.	Second Institute of Oceanography, State Oceanic Administration	NA	NA	NA	Negative	Bacilli (Rod)	No	missing	Psychrotolerant	30	missing	Aerobic	missing	3868305	36.98	4114	missing	missing	Yes	PacBio	105	1	3868305	Finished	NA	NA	NA	missing	missing	MMP07514628	missing	missing	missing	missing	missing	missing	missing	Aryl polyene cluster - Resorcinol cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Type III PKS cluster - Putative fatty acid cluster|Terpene cluster	Emulsan (13%), Carotenoid (28%), Flexirubin (72%), Lipopolysaccharide (16%), ET-743 (8%), Herboxidiene (2%)	Whole genome sequencing (WGS)	99.34	0.82	0	95.24	missing	missing	CheckM	1.0.13	2017-07-01	missing	missing
689	missing	2009-03	missing	missing	missing	NA	Host-associated	missing	missing	Australia|South Australia	South Australia	GAZ:00002791	Bacteria_Archaea	missing	missing	missing	HGAP	missing	1	missing	missing	Cell culture	QMA0248	Diseased barramundi (Lates calcarifer) from South Australia	missing	missing	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unclassified	131567|2|1783272|1239|91061|186826|1300|1301	Cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	missing	2017-11-08	missing	Marine	385746	385746	UP000198395	GCA_002220115.1	GCF_002220115.1	PRJNA385746	SAMN06909305	CP022392	NZ_CP022392.1	1346	NCBI	2017-07-18	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	2055	1978	58	5, 5, 5	5, 5, 5	0, 0, 0	58	22	4	19	Barramundi;Asian sea bass	Lates calcarifer	Streptococcus iniae	Streptococcus iniae QMA0248	missing	missing	Australia	Iis from a diseased barramundi (Lates calcarifer) from South Australia in 2009	Streptococcus iniae is an important fish pathogen causing mortality of a wide range of fish species in different water environments worldwide. Several human infections by contaminated fish have also been reported. This isolate is from a diseased barramundi (Lates calcarifer) from South Australia in 2009. This is a high quality PacBio reference genome that includes manual annotations for nearly 100 insertion sequences.	University of Queensland	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	2116570	36.82	1946	missing	missing	missing	PacBio	167	1	2116570	Finished	missing	Diseased	missing	missing	missing	MMP06909305	missing	missing	missing	missing	missing	missing	missing	Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster	Maklamicin (4%), Capsular polysaccharide (3%), Polysaccharide (17%), Streptolysin S (100%), R1128 (14%)	Whole genome sequencing (WGS)	99.62	0	0	99.62	missing	missing	CheckM	1.0.13	2.3.0	missing	missing
690	missing	unknown	missing	missing	missing	NA	Host-associated	missing	missing	Bahamas	The Bahamas	GAZ:00002733	Bacteria_Archaea	missing	missing	missing	Sprai	16403884	1	16403884	missing	Cell culture	UST030701-156|JCM 13191|NRRL B-41138	Marine sponge	missing	JCM 13191|NRRL B-41138	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Nonlabens	Unclassified	131567|2|1783270|68336|976|117743|200644|49546|363408	Cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Nonlabens	missing	2017-11-08	missing	Marine	355354	355354	UP000193431	GCA_002117125.1	GCF_002117125.1	PRJNA355354	SAMN06075354	CP019344|CP019345	NZ_CP019344.1:NZ_CP019345.1	331648	NCBI	2017-05-03	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3129	3082	56	2, 2, 2	2, 2, 2	0, 0, 0	38	22	4	34	Marine sponge	Lissodendoryx isodictyalis	Nonlabens spongiae	Nonlabens spongiae JCM 13191	missing	missing	Bahamas	Isolated from tissue of the marine sponge Lissodendoryx isodictyalis in the Bahamas.	Whole genome sequence of Nonlabens spongiae JCM 13191	Atmosphere and Ocean Research Institute, The University of Tokyo	missing	missing	missing	Negative	Bacilli (Rod)	Yes	missing	Mesophilic	28|30	missing	Aerobic	1	3393335	40.38	3092	missing	missing	Yes	PacBio	34.24	2	3379276	Finished	missing	missing	missing	missing	missing	MMP06075354	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Type III PKS cluster - Putative fatty acid cluster|Terpene cluster - Putative saccharide cluster	Carotenoid (28%), Emulsan (18%), Polysaccharide B (6%), ET-743 (8%), Azinomycin B (4%)	Whole genome sequencing (WGS)	98.49	0	0	98.49	missing	missing	CheckM	1.0.13	0.9.5.1.3	missing	missing
691	missing	1998-09	5	Marginal sea biome (ENVO:01000046)	Marine algal bloom (ENVO:01000057)	Sea water (ENVO:00002149)	Water	missing	15	Baltic Sea|Gulf of Finland	Baltic Sea	GAZ:00002283	Bacteria_Archaea	59.2900, 22.5398	NA	missing	missing	15545480	1	15545480	missing	Cell culture	BA160|DSM 16537|CIP 108445|LMG 22565	Surface sea water	missing	DSM 16537|CIP 108445|LMG 22565	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Aquiflexum	Aquiflexum balticum	131567|2|1783270|68336|976|768503|768507|563798|280472|280473	Cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Aquiflexum|Aquiflexum balticum	17714	2017-11-08	missing	Marine	20241	20241	UP000192333	GCA_900176595.1	GCF_900176595.1	PRJEB20241	SAMN00777080	LT838813	NZ_LT838813.1	758820	NCBI	2017-04-16	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	5065	5006	95	4, 4, 4	4, 4, 4	0, 0, 0	47	23	3	25	NA	NA	Aquiflexum balticum	Aquiflexum balticum DSM 16537	NA	missing	Baltic Sea	The strain was isolated from a site in the central Baltic Sea at the entrance of the Gulf of Finland (station LL12, 59.2900N, 22.5398E), during the decay of a plankton bloom.	Aquiflexum balticum DSM 16537	DOE Joint Genome Institute	NA	NA	NA	Negative	Bacilli (Rod)	missing	missing	Mesophilic	30	Non Halophilic	Aerobic	missing	5987195	39.39	4944	missing	missing	Yes	missing	missing	1	5987195	Finished	NA	NA	NA	missing	missing	MMP00777080	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Nonribosomal peptide synthetase cluster|Type I PKS cluster - Putative saccharide cluster - Nonribosomal peptide synthetase cluster|Type III PKS cluster - Putative saccharide cluster|Terpene cluster	Scytonemin (80%), Carotenoid (85%), O-antigen (11%), Polysaccharide B (10%), Dactylocycline (5%)	Whole genome sequencing (WGS)	100	0.19	0	99.05	missing	missing	CheckM	1.0.13	missing	missing	missing
692	missing	2013-11-09	missing	Marginal sea biome (ENVO:01000046)	Fish farm (ENVO:00000294)	NA	Host-associated	missing	missing	Chile	Chile	GAZ:00002825	Bacteria_Archaea	-41.420589573031414, -72.91488538995293	missing	missing	CLC Genomics WorkBench	missing	1	missing	missing	Cell culture	AY3864B	Liver	missing	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Unclassified	131567|2|1224|1236|72273|135616|1237	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia	missing	2017-11-08	missing	Marine	306730	306730	UP000185454	GCA_001932935.1	GCF_001932935.1	PRJNA306730	SAMN04376266	CP013811|CP013812|CP013813|CP013814|CP013815	NZ_CP013811.1,NZ_CP013812.1,NZ_CP013813.1,NZ_CP013814.1,NZ_CP013815.1	1238	NCBI	2017-04-16	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3611	3533	297	6, 6, 6	6, 6, 6	0, 0, 0	57	23	4	77	Atlantic salmon	Salmo salar	Piscirickettsia salmonis	Piscirickettsia salmonis AY3864B	Piscirickettsiosis	missing	Chile	Sea cage	Piscirickettsia salmonis subspecies	ADL Diagnostic Chile Ltda	Liver	missing	missing	missing	missing	missing	missing	Psychrophilic	20	missing	Facultative	4	3515597	39.86	3411	missing	missing	missing	PacBio|Illumina HiSeq	107	5	3187888	Finished	missing	missing	missing	missing	missing	MMP04376266	missing	missing	missing	missing	missing	missing	missing	Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Siderophore cluster	K-antigen (3%), Polyhydroxyalkanoate (50%), K-antigen (6%)	Whole genome sequencing (WGS)	98.81	0	0	98.81	missing	missing	CheckM	1.0.13	5.6.1	missing	missing
693	missing	2013-03	missing	missing	missing	NA	Host-associated	missing	missing	Chile	Chile	GAZ:00002825	Bacteria_Archaea	missing	missing	missing	Geneious	missing	2	missing	missing	Cell culture	PF430-3	Salmo salar	missing	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified	131567|2|1224|1236|135623|641|662	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio	missing	2017-11-08	missing	Marine	267092	267092	UP000192690	GCA_001989695.1	NA	PRJNA267092	SAMN03177783	CP011466|CP011467	missing	55601	NCBI	2016-06-24	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	3.3	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3443	3365	15	2, 2, 3	2, 1, 1	0, 0, 0	71	19	4	5	Atlantic salmon	Salmo salar	Vibrio anguillarum	Vibrio anguillarum PF430-3	missing	28160295	Chile	V. anguillarum strain PF430-3, derived from strain PF4, which was originally isolated in Chile	Proaqua has as objetive to reduce larval pathogenic vibrio using vibrio-anatgonistic bacteria (probiotics) and bacteriophages	University of Copenhagen	missing	missing	missing	Negative	missing	missing	missing	missing	missing	missing	missing	missing	4203852	40.51	3365	missing	missing	missing	Illumina	79	2	3190451	Finished	missing	missing	missing	O3	missing	MMP03177783	missing	missing	missing	missing	missing	missing	missing	Aryl polyene cluster|Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Ectoine cluster|Homoserine lactone cluster|Nonribosomal peptide synthetase cluster	K-antigen (18%), O-antigen (35%), Menaquinone (25%), APE Vf (90%), Vanchrobactin (100%), Emulsan (9%), Yersiniabactin (2%), Ectoine (66%)	Whole genome sequencing (WGS)	99.72	0.46	0	97.42	missing	missing	CheckM	1.0.13	7.1.4	missing	missing
694	missing	2008-03	missing	missing	missing	NA	Host-associated	missing	missing	Chile	Chile	GAZ:00002825	Bacteria_Archaea	missing	missing	missing	Geneious	missing	2	missing	missing	Cell culture	PF7	Salmo salar	missing	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified	131567|2|1224|1236|135623|641|662	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio	missing	2017-11-08	missing	Marine	267085	267085	UP000189968	GCA_001997225.1	NA	PRJNA267085	SAMN03177770	CP011464|CP011465	missing	55601	NCBI	2016-06-23	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	3.3	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3501	3434	41	4, 1, 2	4, 1, 1	0, 0, 0	59	20	4	6	Atlantic salmon	Salmo salar	Vibrio anguillarum	Vibrio anguillarum PF7	missing	missing	Chile	missing	Proaqua proyect has as objetive to reduce larval pathogenic vibrio using vibri-antagonistic bacteria (probiotics) and bacteriophages	University of Copenhagen	missing	missing	missing	Negative	missing	missing	missing	missing	missing	missing	missing	missing	4182004	41.60	3434	missing	missing	missing	Illumina	87	2	3123307	Finished	missing	missing	missing	O3	missing	MMP03177770	missing	missing	missing	missing	missing	missing	missing	Aryl polyene cluster|Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Ectoine cluster|Homoserine lactone cluster|Nonribosomal peptide synthetase cluster	O-antigen (35%), K-antigen (13%), Menaquinone (25%), APE Vf (90%), Vanchrobactin (100%), Emulsan (9%), Yersiniabactin (2%), Ectoine (100%)	Whole genome sequencing (WGS)	99.72	0.69	0	96.27	missing	missing	CheckM	1.0.13	7.1.4	missing	missing
695	missing	2011-09	2022	Marine benthic biome (ENVO:01000024)	Sea floor (ENVO:00000482)	Sediment (ENVO:00002007)	Sediment	missing	missing	China|South China Sea	South China Sea	GAZ:00008989	Bacteria_Archaea	18.0, 113.0	NA	missing	RS HGAP assembly	24425742	1	24425742	missing	Cell culture	SM1222|KCTC 32510|CCTCC AB 2013241	Deep sea sediment	missing	KCTC 32510|CCTCC AB 2013241	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanisphaera	Unclassified	131567|2|1224|1236|135624|84642|225143	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Oceanisphaera	missing	2017-11-08	missing	Marine	387128	387128	missing	GCA_002157895.1	GCF_002157895.1	PRJNA387128	SAMN07139042	CP021377	NZ_CP021377.1	1416627	NCBI	2017-05-30	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3095	2975	69	9, 8, 8	9, 8, 8	0, 0, 0	94	24	4	50	NA	NA	Oceanisphaera profunda	Oceanisphaera profunda SM1222	NA	missing	China	missing	Oceanisphaera profunda SM1222 isolated from deep-sea sediment of the South China Sea	Kyung Hee University	NA	NA	NA	Negative	Bacilli (Rod)	Yes	missing	Psychrotolerant	25|30	missing	Aerobic	missing	3508860	49.77	2972	missing	missing	Yes	PacBio	450	1	3508860	Finished	NA	NA	NA	missing	missing	MMP07139042	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Ectoine cluster	Ectoine (80%), S-layer glycan (40%), Lipopolysaccharide (25%), Lipopolysaccharide (100%)	Whole genome sequencing (WGS)	99.79	0	0	99.79	missing	missing	CheckM	1.0.13	3	missing	missing
696	missing	2000-07-11	missing	missing	missing	NA	Host-associated	missing	missing	China	China	GAZ:00002845	Bacteria_Archaea	36.98719701173414, 122.48382568359375	missing	missing	Phred|Phrap	missing	1	21791231	missing	Cell culture	MVAV 6203|CCTCC M204066	Lateolabrax japonicus	East China Univeristy of Science and Technology	CCTCC M204066	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified	131567|2|1224|1236|135623|641|662	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio	missing	2017-11-08	missing	Marine	317927	317927	missing	GCA_002163795.1	GCF_002163795.1	PRJNA317927	SAMN04631738	CP016095	NZ_CP016095.1	55601	NCBI	2017-09-19	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	2890	2793	71	8, 7, 7	8, 7, 7	0, 0, 0	72	23	4	31	Turbot	Scophthalmus maximus	Vibrio anguillarum	Vibrio anguillarum MVAV6203	missing	missing	China	Vibrio anguillarum strain MVAV6203 has been constructed from a wide-type V. anguillarum MVM425 with the curing of virulence-related plasmid pEIB1 and an unmarked gene deletion of the aroC	In this work, we sequenced the genome of V. anguillarum MVAV6203 by 454, Illumina Solexa method and splicing of PCR. The genome of V. anguillarum MVAV6203, with the GC content of 44.5 %, contains two chromosomes, the big one, termed as Chr1 is 3,097,087 bp and contains 2838 genes, the small one, termed as Chr2 is approximately 950 kb and encodes about 1000 genes. Genome sequence analysis indicated that Chr1 contains a number of the virulence related genes such as haemolysin, flagellin and out membrane protein. Most of the environmental adaptability genes like temperature stress, osmotic pressure and drug resistance are located on Chr2.V. anguillarum MVAV6203 chromosome 2 contains a super-integron with the length of about 60 kb and including 50~80 gene cassettes, most of the gene cassettes encode conservative hypothetical proteins. Several gene cassettes carry the genes related to Bleomycin resistance and RelBE Toxin-Antitoxin system which strengthen the stability of super-integron gene cassette array. Comparative genomics analysis demonstrated that V. anguillarum MVAV6203 has a close evolutionary relationship to Vibrio cholerae and Vibrio vulnificus, and simultaneously, its virulence regulation, pathogenic mechanism and drug resistance are similar to other vibrios strains. Comparative genomics analysis also determined 1895 important homologous proteins in vibrios.	East China University of Science and Technology	missing	missing	missing	Negative	missing	missing	missing	missing	missing	missing	missing	missing	3097087	44.68	2899	missing	genotype:aroC mutantion	missing	Illumina|454	50	1	3097087	Finished	missing	missing	missing	O1	missing	MMP04631738	missing	missing	missing	missing	missing	missing	missing	Aryl polyene cluster|Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Nonribosomal peptide synthetase cluster	Emulsan (9%), Vanchrobactin (100%), APE Vf (90%), Menaquinone (33%), Stewartan (21%), K-antigen (11%)	Whole genome sequencing (WGS)	89.53	0.41	0	87.48	missing	missing	CheckM	1.0.13	May 2010|May 2010	missing	missing
697	missing	2013-06	missing	missing	missing	NA	Host-associated	missing	missing	China|Guangxi	Guangxi Zhuang Autonomous Region	GAZ:00004220	Bacteria_Archaea	missing	missing	missing	HGAP	missing	2	28580017	missing	Cell culture	20130629003S01	Ahpnd-affected litopenaeus vannamei	missing	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified	131567|2|1224|1236|135623|641|662|717610	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio harveyi group	missing	2017-11-08	missing	Marine	371682	371682	missing	GCA_002140055.1	GCF_002140055.1	PRJNA371682	SAMN06310879	CP020076|CP020077|CP020078|CP020079|CP020080|CP020081	NZ_CP020076.1:NZ_CP020077.1:NZ_CP020078.1:NZ_CP020079.1:NZ_CP020080.1:NZ_CP020081.1	680	NCBI	2017-05-23	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	6073	5897	156	13, 12, 12	13, 12, 12	0, 0, 0	134	22	5	72	Whiteleg shrimp	Litopenaeus vannamei	Vibrio campbellii	Vibrio campbellii 20130629003S01	Acute hepatopancreatic necrosis disease (AHPND)	28580017	China	Isolated in June of 2013 from AHPND-affected Litopenaeus vannamei in China and characterized by pirABvp positive	Acute hepatopancreatic necrosis disease (AHPND) is a severe shrimp disease that has caused heavy losses to the global shrimp farming industry. AHPND-causing Vibrio parahaemolyticus (VPAHPND) is almost the only known pathogen responsible for the disease. Rare cases of AHPND caused by Vibrio species other than V. parahaemolyticus were reported. Strain 20130629003S01 is the first reported V. campbellii isolate which can cause AHPND. This stain was isolated in June of 2013 from AHPND-affected Litopenaeus vannamei in China and characterized by pirABvp positive. Genome sequencing of 20130629003S01 can provide timely information for better understanding of genomic characteristics of pathogen.	Yellow Sea Fisheries Research Institute	missing	missing	missing	Negative	missing	missing	missing	missing	missing	missing	missing	4	6371321	45.17	5828	biovar p	missing	missing	PacBio|Illumina miseq	120|270	6	3621712	Finished	missing	missing	missing	missing	missing	MMP06310879	missing	missing	missing	missing	missing	missing	missing	Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Ectoine cluster|Nonribosomal peptide synthetase cluster	Ectoine (66%), Acinetobactin (39%), Menaquinone (16%), Vibriobactin (36%), K-antigen (32%), Xenocyloins (25%)	Whole genome sequencing (WGS)	99.86	0.35	0	98.11	missing	missing	CheckM	1.0.13	3	missing	missing
